record_id,资源ID,模型ID,鱼种,标准学名,英文名,最喜欢的温度(°C),候选水温带,资料水温下限(°C),资料水温上限(°C),对温度变化的容忍系数,水温接受阈值,FG推荐结构体,环境类型,栖息带类型,时段偏好,period0_3,period3_6,period6_9,period9_12,period12_15,period15_18,period18_21,period21_24,候选水层,表层亲和系数,中层亲和系数,底层亲和系数,深度上限(m),深度下限(m),真饵类型,拟饵类型,候选饵食性,摄食类型
recvppgBfWgFkW,icon_placeholder_0001_2D,#N/A,莱氏拟乌贼,Sepioteuthis Lessoniana,Bigfin Reef Squid,23,,18,28,2.5,0.1,开放水域|水草|石头|深坑|断层|岩架|码头,半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,100,,,,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWGhWa,icon_placeholder_0001_2D,#N/A,裸狐鲣,Gymnosarda Unicolor,Dogtooth Tuna,24,暖水,20,28,2,0.1,开放水域|深坑|断层,海水,reef-associated,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,250,0,饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWLGuZ,icon_placeholder_0001_2D,#N/A,长鳍金枪鱼,Thunnus Alalunga,Albacore,17.35,温水,9.5,25.2,3.93,0.1,开放水域|深坑|断层,海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,600,0,甲壳|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWNVrL,icon_placeholder_0001_2D,#N/A,鞍带石斑鱼,Epinephelus Lanceolatus,Giant Grouper,28.1,暖水,22.1,34.1,5,0.1,石头|深坑|断层|岩架|崖壁|暗岛,半咸水|海水,reef-associated,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,200,1,甲壳|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWJdYf,icon_placeholder_0001_2D,#N/A,高体鰤,Seriola Dumerili,Greater Amberjack,27.1,暖水,21.1,33.1,6,0.1,开放水域|尖脊|断层|岩架|暗岛,海水,reef-associated,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,385,1,甲壳|鱼饵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWEtv1,icon_placeholder_0001_2D,#N/A,东方狐鲣,Sarda Orientalis,Striped Bonito,18.25,温水,13.5,23,2.25,0.1,开放水域|深坑|断层|入水口|出水口,海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,167,1,甲壳|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfX8j0e,icon_placeholder_0001_2D,#N/A,日本鲭,Scomber Japonicus,Chub Mackerel,18.5,温水,10,27,4.25,0.1,开放水域|深坑|断层|入水口|出水口,海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,300,0,甲壳|鱼饵|鱼卵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,温和肉食性,hunting macrofauna (predator)
recvppgBfXsGjb,icon_placeholder_0001_2D,#N/A,海鲈鱼,Lateolabrax Japonicus,Asian Seabasses,22.4,,17.4,27.4,6,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水|半咸水|海水,reef-associated,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|中下层|底层,10,7,10,,5,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXxaUK,icon_placeholder_0001_2D,#N/A,黑鲷,Acanthopagrus Schlegelii,Blackhead Seabream,23.7,,18.7,28.7,6,0.1,石头|深坑|断层|岩架|泥底|崖壁|码头|暗岛|沙底,半咸水|海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,15,种子|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfX5bwk,icon_placeholder_0001_2D,#N/A,真鲷,Pagrus Major,Red Seabream,21.8,,16.8,26.8,6,0.1,石头|深坑|断层|岩架|泥底|崖壁|码头|暗岛|沙底,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,200,10,甲壳|鱼饵|鱼卵|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfXVjAB,icon_placeholder_0001_2D,#N/A,条石鲷,Oplegnathus Fasciatus,Rock Bream,22,,17,27,8,0.1,石头|深坑|断层|岩架|崖壁|暗岛,海水,reef-associated,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|中下层|底层,10,7,10,10,1,甲壳|鱼饵,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfXRJZa,icon_placeholder_0001_2D,#N/A,沙鮻,Sillago Sihama,Northern Whiting,27.5,暖水,26,29,0.75,0.1,开放水域|深坑|断层|泥底|沙洲|沙底,半咸水|海水,reef-associated,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,60,0,种子|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfXpJTy,icon_placeholder_0001_2D,#N/A,星点东方鲀,Takifugu Niphobles,Grass Puffer,23.6,,18.6,28.6,8,0.1,深坑|断层|泥底|沙底,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,,昆虫|甲壳|鱼饵,,温和肉食性,
recvppgBfXf19L,icon_placeholder_0001_2D,#N/A,枯叶鱼,Mentodus Facilis,Amazon Leaffish,4.7,暖水,3.7,5.7,1.08,0.1,开放水域|深坑|断层,海水,bathypelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中层|中下层,4,10,7,2000,680,,,凶猛肉食性,
recvppgBfXvrup,icon_placeholder_0001_2D,#N/A,黑带兔脂鲤,Leporinus Nigrotaeniatus,Black Banded Leporinus,24.5,暖水,23,26,0.75,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,,,杂食性,
recvppgBfXT5MP,icon_placeholder_0001_2D,#N/A,七彩神仙鱼（白）,Symphysodon Aequifasciatus（White）,White Discus,28.5,,26,31,1.25,0.1,开放水域,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中层,4,10,4,,,,,杂食性,
recvppgBfXN0xn,icon_placeholder_0001_2D,#N/A,七彩神仙鱼（橙）,Symphysodon Aequifasciatus（Orange）,Orange Discus,28.5,,26,31,1.25,0.1,开放水域,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中层,4,10,4,,,,,杂食性,
recvppgBfXwiS7,icon_placeholder_0001_2D,#N/A,地图鱼,Astronotus Ocellatus,Oscar,23.5,温水,22,25,0.75,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,variable
recvppgBfX8bBO,icon_placeholder_0001_2D,#N/A,长吻鲍氏脂鲤,Boulengerella Cuvieri,Bicuda,26,,20,32,5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,pelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,,,饵鱼,T尾|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXMmcA,icon_placeholder_0001_2D,#N/A,虎纹鸭嘴鲇,Pseudoplatystoma Fasciatum,Tiger Sorubim,26,暖水,24,28,1,0.1,开放水域|沉木|深坑|断层|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,表层|底层,10,4,10,,5,甲壳|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXiRAK,icon_placeholder_0001_2D,#N/A,金目丽鱼,Cichla Temensis,Speckled Peacock Bass,28,暖水,27,29,0.5,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfX7OU9,icon_placeholder_0001_2D,#N/A,茅尖鱼,Crenicichla Lepidota,Pike cichlid,24,,20,28,2,0.1,水草|沉木|湾子|浅滩|芦苇,,,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,1,,,,,凶猛肉食性,
recvppgBfXIKua,icon_placeholder_0001_2D,#N/A,针牙脂鲤,Rhaphiodon Vulpinus,Biara,26,,20,32,5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水,pelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,,,饵鱼,T尾|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXP20G,icon_placeholder_0001_2D,fish_northern_pike00,河红马鱼,Moxostoma Carinatum,River Redhorse,15,温水,11,19,8,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|甲壳|鱼饵,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfXa0F7,icon_placeholder_0001_2D,fish_northern_pike00,金红马鱼,Moxostoma Erythrurum,Golden Redhorse,15,温水,11,19,8,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|面团|谷物,,温和肉食性,
recvppgBfXlayy,icon_placeholder_0001_2D,fish_northern_pike00,萨克拉门托大斑狗鱼,Ptychocheilus Grandis,Sacramento Pikeminnow,15,温水,11,19,8,0.1,水草|沉木|湾子|浅滩|芦苇,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|鱼饵,,凶猛肉食性,
recvppgBfXlWfN,icon_placeholder_0001_2D,fish_northern_pike00,大西洋黄貂鱼,Hypanus Sabinus,Atlantic Stingray,25.5,,19.5,31.5,6,0.1,深坑|湾子|泥底|沙洲|浅滩|沙底,淡水|半咸水|海水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,表层|底层,10,4,10,25,2,甲壳|鱼饵,T尾|软虫|VIB|多节鱼,温和肉食性,hunting macrofauna (predator)
recvppgBfXdtR2,icon_placeholder_0001_2D,#N/A,单鳍多线鱼,Pleurogrammus Monopterygius,Atka Mackerel,3.7,,2.7,4.7,6,0.1,开放水域|深坑|断层,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,720,0,种子|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfXYM2N,icon_placeholder_0001_2D,#N/A,鲤鱼,Cyprinus Carpio,Common Carp,19,广温,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvppgBfXnDVu,icon_placeholder_0001_2D,#N/A,黄尾鰤,Seriola Lalandi,Yellowtail Amberjack,21,温水,18,24,1.5,0.1,开放水域|尖脊|断层|岩架|暗岛,半咸水|海水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,825,3,甲壳|饵鱼,T尾|软虫|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXBHiP,icon_placeholder_0001_2D,#N/A,剑旗鱼,Xiphias Gladius,Swordfish,16,广温,5,27,5.5,0.1,开放水域|深坑|断层,海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,2878,0,甲壳|鱼饵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXSJIc,icon_placeholder_0001_2D,#N/A,巴西马鲛,Scomberomorus Brasiliensis,Serra Spanish Mackerel,27.5,,21.5,33.5,5,0.1,开放水域,海水,reef-associated,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,甲壳|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfXRQzH,icon_placeholder_0001_2D,#N/A,草鱼,Ctenopharyngodon Idella,Grass Carp,17.5,,0,35,8.75,0.1,水草|深坑|断层|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,30,0,种子|面团|谷物,,植食性,browsing on substrate
recvq6YNcImaX7,icon_placeholder_0001_2D,#N/A,双线无须鳕,Merluccius Bilinearis,Silver Hake,4.9,温水,3.9,5.9,8,0.1,开放水域|石头|深坑|断层|岩架|碎石底|暗岛,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,914,55,甲壳|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIG4C0,icon_placeholder_0001_2D,#N/A,四白锦鲤,Cyprinus Carpio Var. Shiro Utsuri,Shiro Utsuri Koi,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcIY1d7,icon_placeholder_0001_2D,#N/A,圆点五色锦鲤,Cyprinus Carpio Var. Goromo,Goromo Koi,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcI9eWH,icon_placeholder_0001_2D,#N/A,圆鳍鱼,Cyclopterus Lumpus,Lumpfish,7,冷水,3,11,2,0.1,石头|深坑|断层|岩架|崖壁|码头,海水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,868,0,种子|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcI1Fel,icon_placeholder_0001_2D,#N/A,塞凡湖鳟,Salmo Ischchan,Sevan Trout,15,冷水,11,19,8,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,甲壳,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcINPp9,icon_placeholder_0001_2D,#N/A,大西洋小鳕,Microgadus Tomcod,Atlantic Tomcod,6.4,冷水,4.4,8.4,8,0.1,开放水域|石头|深坑|断层|岩架|碎石底|暗岛,淡水|半咸水|海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,69,0,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIsSNZ,icon_placeholder_0001_2D,#N/A,大西洋牙鲆,Paralichthys Dentatus,Summer Flounder,19.1,温水,15.1,23.1,8,0.1,开放水域|深坑|断层|泥底|沙洲|沙底,半咸水|海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,183,10,种子|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcI3Rnh,icon_placeholder_0001_2D,#N/A,大西洋狼鱼,Anarhichas Lupus,Atlantic Wolffish,7.8,温水,5.8,9.8,8,0.1,石头|深坑|断层|岩架|崖壁|暗岛,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,600,1,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIVYyc,icon_placeholder_0001_2D,#N/A,大西洋黄盖鲽,Myzopsetta Ferruginea,Yellowtail Flounder,2.6,温水,1.6,3.6,8,0.1,开放水域|深坑|断层|泥底|沙洲|沙底,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,364,27,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIR5Mz,icon_placeholder_0001_2D,#N/A,小体鲟,Acipenser Ruthenus,Sterlet,15,温水,11,19,8,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|底层,10,4,10,,1,昆虫|鱼饵|鱼卵,,温和肉食性,variable
recvq6YNcIPlSr,icon_placeholder_0001_2D,#N/A,常见拟鲤,Rutilus Rutilus,Common Roach,15,温水,10,20,2.5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,15,种子|昆虫|甲壳|鱼饵|面团|谷物,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvq6YNcIW2TT,icon_placeholder_0001_2D,#N/A,常见鮈鱼,Gobio Gobio,Common Gudgeon,10,冷水,2,18,4,0.1,开放水域|深坑|湾子|泥底,淡水|半咸水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|甲壳|鱼饵|谷物,,温和肉食性,hunting macrofauna (predator)
recvq6YNcITwbq,icon_placeholder_0001_2D,#N/A,无鳞鲤,Cyprinus Carpio Var. Nudus,Leather Carp,19,广温,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,hunting macrofauna (predator)
recvq6YNcIN5vB,icon_placeholder_0001_2D,#N/A,棘背钝头鳐,Amblyraja Radiata,Thorny Skate,6.35,冷水,-1.3,14,3.83,0.1,深坑|断层|泥底|沙底,半咸水|海水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,1540,5,种子|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIwE4Z,icon_placeholder_0001_2D,#N/A,橙黄金锦鲤,Cyprinus Carpio Var. Ogon,Ogon Koi,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcIh2bC,icon_placeholder_0001_2D,#N/A,欧白鲑,Coregonus Albula,Vendace,2.6,温水,1.6,3.6,8,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,30,昆虫|甲壳|鱼卵,软虫|米诺|勺子亮片|旋转亮片|VIB,滤食性,selective plankton feeding
recvq6YNcIDhdP,icon_placeholder_0001_2D,#N/A,湖拟鲤,Rutilus Rutilus,Roach,15,温水,10,20,2.5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,15,种子|昆虫|甲壳|鱼饵|面团|谷物,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvq6YNcIDFIR,icon_placeholder_0001_2D,#N/A,白化草鱼,Ctenopharyngodon Idella Var. Albino,Albino Grass Carp,17.5,温水,0,35,8.75,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,30,0,种子|面团|谷物,,植食性,
recvq6YNcInhR0,icon_placeholder_0001_2D,#N/A,白北鲑,Stenodus Leucichthys,Whitefish,8,温水,6,10,6,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,30,10,昆虫|甲壳|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIPNI7,icon_placeholder_0001_2D,#N/A,白斑角鲨,Squalus Acanthias,Spiny Dogfish,11,冷水,7,15,2,0.1,开放水域|尖脊|断层|崖壁|入水口|暗岛,半咸水|海水,bathydemersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,1978,0,昆虫|甲壳|鱼饵|鱼卵|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIg9E8,icon_placeholder_0001_2D,#N/A,红白锦鲤,Cyprinus Carpio Var. Kohaku,Kohaku Koi,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcIVVJ6,icon_placeholder_0001_2D,#N/A,美洲拟鲽,Pseudopleuronectes Americanus,Winter Flounder,6.1,温水,4.1,8.1,8,0.1,开放水域|深坑|断层|泥底|沙洲|沙底,海水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,143,5,种子|甲壳|鱼饵|谷物,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcIFUlE,icon_placeholder_0001_2D,#N/A,花鮨,Anthias Anthias,Grouper,19,温水,16,22,1.5,0.1,石头|深坑|断层|岩架|崖壁|暗岛,海水,reef-associated,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,358,30,甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,
recvq6YNcIyMiO,icon_placeholder_0001_2D,#N/A,葛氏鲈塘鳢,Perccottus Glenii,Chinese Sleeper,22.5,温水,15,30,3.75,0.1,水草|沉木|深坑|湾子|泥底|浅滩|芦苇,淡水|半咸水,demersal,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,底层,1,4,10,,,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcIRQxj,icon_placeholder_0001_2D,#N/A,赤梢鱼,Perca Fluviatilis,Redfin Perch,16,温水,10,22,3,0.1,石头|深坑|断层|岩架|碎石底|暗岛,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|底层,10,4,10,30,1,昆虫|甲壳|鱼饵|鱼卵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvq6YNcI7b6Z,icon_placeholder_0001_2D,#N/A,镜鲤(白化),Cyprinus Carpio Var. Specularis Albino,Albino Mirror Carp,19,温水,3,35,8,0.1,水草|沉木|湾子|泥底|浅滩|芦苇|入水口|沙底,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,29,0,种子|昆虫|甲壳|鱼饵|鱼卵|面团|谷物|饵鱼,,杂食性,
recvq6YNcIYa1y,icon_placeholder_0001_2D,#N/A,闪光鲟,Acipenser Stellatus,Stellate Sturgeon,15,温水,10,20,2.5,0.1,开放水域|深坑|断层|泥底|碎石底|入水口|出水口|沙底,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,100,10,甲壳|鱼饵|饵鱼,,温和肉食性,hunting macrofauna (predator)
recvq6YNcI6pwQ,icon_placeholder_0001_2D,#N/A,驼背白鲑,Coregonus Pidschian,Humpback Whitefish,2,冷水,1,3,4,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|甲壳|鱼饵,软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvq6YNcISGAE,icon_placeholder_0001_2D,#N/A,高白鲑,Coregonus Peled,Peled,2,温水,1,3,4,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|底层,10,4,10,11,5,甲壳|鱼卵|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,滤食性,hunting macrofauna (predator)
