中文名,英文名,标准学名,源记录ID,资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),候选水温带,时段偏好,栖息带类型,深度下限(m),深度上限(m),食性（源表候选）,摄食类型,环境类型,AI审核状态,资料复核状态,复核食性类别,复核摄食机制,复核主要食物,复核栖息与空间行为,复核生命周期与繁殖行为,复核事实摘要
银龙鱼,Silver Arowana,Osteoglossum Bicirrhosum,recvppgBfWiZzA,24,30,27,暖水,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
湖白鲑,Lake Whitefish,Coregonus Artedi,recvppgBfWoPCY,0,26,13,温水,晨昏活跃,pelagic-neritic,0,64,滤食性,selective plankton feeding,淡水|半咸水|海水,待人工审核,需人工确认,,,,,,IDENTITY CONFLICT：Lake Whitefish 应对应 Coregonus clupeaformis；Coregonus artedi 是 Cisco。当前整条生态数据暂不视为已闭合事实，FCF 分类应暂停。
阿帕奇鳟鱼,Apache Trout,Oncorhynchus Apache,recvppgBfWsVts,11,19,15,温水,晨昏活跃,demersal,,,,,淡水,待人工审核,,,,,,,
公牛鲨,Bull Shark,Carcharhinus Leucas,recvppgBfWecOd,21.5,33.5,27.5,暖水,夜间活跃,reef-associated,1,164,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
黑斑须雅罗鱼,Common Creek Chub,Semotilus Atromaculatus,recvppgBfWQk9D,0,30.3,15.15,温水,早晨活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
阿拉斯加黑鱼,Alaska Blackfish,Dallia Pectoralis,recvppgBfWVP7p,4,14,9,冷水,晨昏活跃,demersal,,,杂食性,variable,淡水,待人工审核,,,,,,,
银鲑,Coho Salmon,Oncorhynchus Kisutch,recvppgBfWVYbc,0,24.8,12.4,,晨昏活跃,pelagic-neritic,0,250,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
江鳕,Burbot,Lota Lota,recvppgBfWUwLo,4,18,11,冷水,夜间活跃,demersal,1,700,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
吉拉鳟鱼,Gila Trout,Oncorhynchus Gilae,recvppgBfWSSXi,11,19,15,温水,晨昏活跃,demersal,,,,,淡水,待人工审核,,,,,,,
巴亚拉鱼,Payara,Hydrolycus Scomberoides,recvppgBfWdgXq,24,28,26,暖水,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
红鳍狗鱼,Redfin Pickerel,Esox Americanus,recvppgBfWmYyM,16,26,21,温水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
蓝鲶鱼,Blue Catfish,Ictalurus Furcatus,recvppgBfWuSdg,17,27,22,温水,夜间活跃,demersal,,50,肉食性,,淡水|半咸水,待人工审核,,,,,,,
白化高首鲟,White Sturgeon 02,Acipenser Transmontanus,recvppgBfWvsQS,0,23.3,11.65,,晨昏活跃,demersal,1,122,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
白化叉尾鮰,White Channel Catfish,Ictalurus Punctatus,recvppgBfWCJhn,10,31.6,20.8,广温,夜间活跃,demersal,,15,杂食性,variable,淡水,待人工审核,,,,,,,
尖吻鲟,Atlantic Sturgeon,Acipenser Oxyrinchus,recvppgBfWFxyU,4.3,24.4,14.35,温水,晨昏活跃,demersal,1,46,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
云斑鮰,Brown Bullhead,Ameiurus Nebulosus,recvppgBfWq7m4,0,37.4,18.7,温水,夜间活跃,demersal,10,12,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
鲻鱼,Flathead Grey Mullet,Mugil Cephalus,recvppgBfWQhq4,8,24,16,温水,早晨活跃,benthopelagic,0,120,杂食性,variable,淡水|半咸水|海水,待人工审核,已复核-无问题,杂食性,Grazing|Benthic Foraging,碎屑、微藻、附着生物等；幼期微型甲壳类，食物随阶段变化。,近海、河口及可进入的淡水，沙泥/植被区也相关。,成熟后出海繁殖，不能将河口栖地当全部生命周期。,碎屑、微藻、附着生物等；幼期微型甲壳类，食物随阶段变化。 吸取底泥表层、刮取附着物等；摄入沙粒参与研磨，不凭微型食物推断滤食。
白斑狗鱼,Northern Pike,Esox Lucius,recvppgBfW3JSO,10,28,19,广温,晨昏活跃,pelagic,0,30,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,已复核-无问题,肉食性,Target/Particulate,鱼等动物性猎物。,湖河的植被、缓流和掩体附近；产后可转深。,春季在植被区散卵；不以巢守护来解释繁殖行为。,鱼等动物性猎物。 从植被和掩体附近捕获离散猎物。
鳄雀鳝,Alligator Gar,Atractosteus Spatula,recvppgBfW0Zk4,17,27,22,温水,晨昏活跃,demersal,0,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,已复核-无问题,肉食性,Target/Particulate,以鱼类为主，也有其他脊椎动物食物记录。,河流、水库、近岸海湾；洪水时侧向进入适宜繁殖地。,洪泛植被产卵与水文窗口密切相关，并非每年都成功繁殖。,以鱼类为食；TPWD 记载可先携饵移动再吞咽，骨质口部使挂钩困难。取饵、吞咽与挂钩是不同阶段；延迟处理存在深吞风险。繁殖依赖适宜淹水浅滩。
硬头鳟,Steelhead Trout,Oncorhynchus Mykiss,recvppgBfWaSu9,10,24,17,温水,晨昏活跃,benthopelagic,0,200,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
黑鮰,Black Bullhead Catfish,Ameiurus Melas,recvppgBfWh7Ja,8,30,19,广温,夜间活跃,demersal,10,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
金体美鱥,Golden Shiner,Notemigonus Crysoleucas,recvppgBfWqD6E,0,34.7,17.35,温水,早晨活跃,demersal,10,,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
美国红鱼,Red Drum,Sciaenops Ocellatus,recvppgBfWqQzs,15,26,20.5,温水,晨昏活跃,demersal,10,,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,已修正,肉食性,Benthic Foraging|Target/Particulate,虾、蟹及鱼等动物。,幼鱼利用海湾，成熟鱼更多利用海区；潮汐影响局地可达性。,Texas 海区秋季繁殖；成幼阶段空间分化。,虾、蟹及鱼等动物。 常近底捕食，也可在水柱取食；尾露水面反映近底觅食姿势。
褐鳟,Brown Trout,Salmo Trutta,recvppgBfWi1DY,18,24,21,温水,晨昏活跃,pelagic-neritic,0,28,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,已修正,肉食性,Target/Particulate,无脊椎动物；较大个体也取食鱼类。,淡水河湖及降海 sea trout 生活史；不能将海洋中上层作为全种栖地。,爱尔兰资料记载秋冬砾床繁殖；留居和降海路径须分开。,无脊椎动物；较大个体也取食鱼类。 获取离散动物性食物，食谱变化不直接构成滤食/新模式。
铲鮰,Flathead Catfish,Pylodictis Olivaris,recvppgBfW4irh,21.5,33.5,27.5,温水,夜间活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
高首鲟,White Sturgeon 01,Acipenser Transmontanus,recvppgBfW7BfW,0,23.3,11.65,,晨昏活跃,demersal,1,122,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
眼点丽鱼,Cichla Ocellaris,Cichla Ocellaris,recvppgBfWmvOm,24,27,25.5,暖水,全天活跃,benthopelagic,5,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
大西洋鲭,Atlantic Mackerel,Scomber Scombrus,recvppgBfWOPsA,7.2,13.2,10.2,,全天活跃,pelagic-neritic,0,1000,杂食性,variable,半咸水|海水,待人工审核,已修正,肉食性,Target/Particulate|Filter|Mixed/Switching,,,,Atlantic mackerel 主要摄食动物性猎物，包括桡足类、磷虾、虾、鱿鱼和小鱼；能够在 particulate feeding 与 filter feeding 之间切换。
大口牛胭脂鱼,Bigmouth Buffalo,Ictiobus Cyprinellus,recvppgBfWSpJ8,15.5,30,22.75,温水,早晨活跃,benthopelagic,4,,肉食性,,淡水,待人工审核,已修正,肉食性,Filter,以浮游动物为重要食物，研究有明确取样地域/季节。,大河缓水、湖泊/回水区，繁殖进入洪泛植物区。,春季洪泛地集群产卵，卵无照护。,以浮游动物为重要食物，研究有明确取样地域/季节。 Wabash River 研究将其作为滤食者；不是由食谱名称反推。
短吻鲟,Shortnose Sturgeon,Acipenser Brevirostrum,recvppgBfWp1dp,11.6,19.6,15.6,温水,晨昏活跃,demersal,6,53,肉食性,,淡水|半咸水|海水,待人工审核,,,,,,,
